"id";"winerys";"wine";"winetype";"country region";"averages";"reviews";"images"
"98";"Domaine Coche-Dury";"Puligny-Montrachet Les Enseignères 2013";"Whites";"France
·
Puligny-Montrachet";"4.7";"41 ratings";"https://images.vivino.com/thumbs/rnSiwow4TqSCtPugr3mC2Q_pb_x300.png"
"99";"Domaine de La Romanée-Conti";"Montrachet Grand Cru 1996";"Whites";"France
·
Montrachet Grand Cru";"4.7";"41 ratings";"https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png"
"100";"Raveneau";"Chablis Grand Cru 'Blanchot' 2011";"Whites";"France
·
Chablis Grand Cru 'Blanchot'";"4.7";"40 ratings";"https://images.vivino.com/thumbs/N-h7YbCuSSWSjantw5tYBA_pb_x300.png"
"101";"Château Mouton Rothschild";"Aile d'Argent Blanc Bordeaux 1982";"Whites";"France
·
Bordeaux";"4.7";"40 ratings";"https://images.vivino.com/thumbs/mUcYdy79QZyMIo3tsiKq8A_pb_x300.png"
"102";"Domaine Leflaive";"Chevalier-Montrachet Grand Cru 2014";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.7";"40 ratings";"https://images.vivino.com/thumbs/lD32nuv9Sw6sJ7eQ8M6FtA_pb_x300.png"
"103";"Michel Juillot";"Corton-Charlemagne Grand Cru 2009";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.7";"37 ratings";"https://images.vivino.com/thumbs/LbGb8m6hTeitdD0g3ZAQMw_pb_x300.png"
"104";"Keller";"Abts Erde Riesling 2009";"Whites";"Germany
·
Rheinhessen";"4.7";"37 ratings";"https://images.vivino.com/thumbs/e-wQMtuaTqORgDsptlx5ng_pb_x300.png"
"105";"Peter Michael";"Mon Plaisir Chardonnay 2015";"Whites";"United States
·
Knights Valley";"4.7";"37 ratings";"https://images.vivino.com/thumbs/kI7dIYpZQWK1D2GCeQ4D2g_pb_x300.png"
"106";"Faiveley";"Corton-Charlemagne Grand Cru 2006";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.7";"36 ratings";"https://images.vivino.com/thumbs/6ifUi3VISe6hiUqrXePJqQ_pb_x300.png"
"107";"Marqués de Murrieta";"Castillo Ygay Gran Reserva Especial Blanco 2001";"Whites";"Spain
·
Rioja";"4.7";"36 ratings";"https://images.vivino.com/thumbs/G3MU5UwBQ1eCX5A6CiPivg_pb_x300.png"
"108";"Château d'Yquem";"Y 1997";"Whites";"France
·
Bordeaux Supérieur";"4.7";"36 ratings";"https://images.vivino.com/thumbs/6dP83oDrQy2Zv6es9tHp7w_pb_x300.png"
"109";"Joh. Jos. Prüm";"Wehlener Sonnenuhr Riesling Auslese 1990";"Whites";"Germany
·
Wehlen";"4.7";"36 ratings";"https://images.vivino.com/thumbs/z7B_lm7URWy88F0inHlZ-w_pb_x300.png"
"110";"Jean Noël Gagnard";"Chassagne-Montrachet 1er Cru 'Les Caillerets' Blanc 2014";"Whites";"France
·
Chassagne-Montrachet 1er Cru 'Cailleret'";"4.7";"36 ratings";"https://images.vivino.com/thumbs/upj_csvpTCuxQCbIr2lGPg_pb_x300.png"
"111";"Aubert";"Chardonnay Larry Hyde & Sons 2015";"Whites";"United States
·
Los Carneros";"4.7";"36 ratings";"https://images.vivino.com/thumbs/IiahG9oiQ-K0DceRfPIoOA_pb_x300.png"
"112";"Far Niente";"Chardonnay 2004";"Whites";"United States
·
Napa Valley";"4.7";"35 ratings";"https://images.vivino.com/thumbs/O6b0DPFgRkaxE9ebTTwAbA_pb_x300.png"
"113";"Domaine Coche-Dury";"Meursault Les Rougeots 2012";"Whites";"France
·
Meursault";"4.7";"35 ratings";"https://images.vivino.com/thumbs/l5W5NRvZR_SzClIDSnG5Ag_pb_x300.png"
"114";"Morlet Family Vineyards";"Chardonnay Coup De Coeur 2013";"Whites";"United States
·
Sonoma County";"4.7";"35 ratings";"https://images.vivino.com/thumbs/-EUQAvqtSc-fRB5ZkyfqGw_pb_x300.png"
"115";"Olivier Leflaive";"Montrachet Grand Cru 2011";"Whites";"France
·
Montrachet Grand Cru";"4.7";"35 ratings";"https://images.vivino.com/thumbs/AzV_MtQeRMek7hwD4cmdzw_pb_x300.png"
"116";"F.X. Pichler";"Unendlich Riesling 2011";"Whites";"Austria
·
Wachau";"4.7";"34 ratings";"https://images.vivino.com/thumbs/Clc1N_neRBq_orOAKw9aqg_pb_x300.png"
"117";"Raveneau";"Chablis Grand Cru 'Clos' 2012";"Whites";"France
·
Chablis Grand Cru 'Les Clos'";"4.7";"34 ratings";"https://images.vivino.com/thumbs/Z3rABzWkRk66rNa_qD8IVQ_pb_x300.png"
"118";"Sine Qua Non";"Deux Grenouilles 2016";"Whites";"United States
·
California";"4.7";"34 ratings";"https://images.vivino.com/thumbs/r5BG1LbUR26lpgPHn2y9uQ_pb_x300.png"
"119";"Lucien le Moine";"Corton-Charlemagne Grand Cru 2013";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.7";"34 ratings";"https://images.vivino.com/thumbs/eRoKZehFRfOTcsj_wEMHzQ_pb_x300.png"
"120";"Domaine Valette";"Vieilles Vignes Reserve Le Clos de Monsieur Noly Pouilly-Fuissé 2001";"Whites";"France
·
Pouilly-Fuissé";"4.7";"33 ratings";"https://images.vivino.com/thumbs/oaE_VgfGTk65ZOXcS0NU6Q_pb_x300.png"
"121";"Raveneau";"Chablis Grand Cru 'Valmur' 2001";"Whites";"France
·
Chablis Grand Cru 'Valmur'";"4.7";"33 ratings";"https://images.vivino.com/thumbs/NvJW_m_oSouF5BbUQ6a_Yg_pb_x300.png"
